,EQUITY,EQUITY,EQUITY,DEBT,DEBT,DEBT
Date,Gross Purchase,Gross Sales,Net Purchase/Sales,Gross Purchase,Gross Sales,Net Purchase/Sales
20-Dec-2006,1076.36,615.89,460.47,307.89,313.8,-5.91
19-Dec-2006,663.79,653.11,10.68,504.17,332.76,171.41
18-Dec-2006,499.31,453.85,45.46,455.76,391.99,63.77
15-Dec-2006,763.93,613.98,149.95,125,266.56,-141.56
14-Dec-2006,601.9,673.63,-71.73,370.84,321.43,49.41
13-Dec-2006,743.25,975.09,-231.84,360.13,409.04,-48.91
12-Dec-2006,732.79,1282.9,-550.11,162.25,238.57,-76.32
11-Dec-2006,445.26,1102.5,-657.24,348.36,173.96,174.4
08-Dec-2006,616.07,548.25,67.82,182.75,287.63,-104.88
07-Dec-2006,487.84,483.65,4.19,566.94,380.33,186.61
06-Dec-2006,394.81,572.18,-177.37,576.74,354.25,222.49
05-Dec-2006,504.18,453.68,50.5,98.51,184.22,-85.71
04-Dec-2006,484.44,441.3,43.14,431.22,419.57,11.65
01-Dec-2006,666.34,362.02,304.32,341.59,343.02,-1.43
Total,13181.43,11554.37,1627.06,7584.7,6256.15,1328.55
31-Jan-2004,N.A.,N.A.,N.A.,25.05,35.31,-10.26
30-Jan-2004,201.81,88.78,113.03,248.09,172.34,75.75
29-Jan-2004,241.29,81.05,160.24,112.98,230.23,-117.25
28-Jan-2004,234.93,220.13,14.8,274.88,76.21,198.67
27-Jan-2004,98.85,169.03,-70.18,163.05,36.48,126.57
24-Jan-2004,N.A.,N.A.,N.A.,5.28,0,5.28
23-Jan-2004,177.57,246.83,-69.26,36.83,115.98,-79.15
22-Jan-2004,403.35,277.16,126.19,178.31,274.85,-96.54
21-Jan-2004,279.79,148.06,131.73,200.68,139.52,61.16
20-Jan-2004,205.21,127.11,78.1,91.43,85.96,5.47
19-Jan-2004,199.27,110.56,88.71,143.44,109.06,34.38
17-Jan-2004,N.A.,N.A.,N.A.,31.98,29.56,2.42
16-Jan-2004,216.52,264.9,-48.38,98.08,259.95,-161.87
15-Jan-2004,235.54,159.28,76.26,234.8,106.34,128.46
14-Jan-2004,280.13,202.9,77.23,342.09,247.36,94.73
13-Jan-2004,212.76,175.42,37.34,229.67,187.53,42.14
12-Jan-2004,233.66,232.01,1.65,529.89,348.89,181
10-Jan-2004,N.A.,N.A.,N.A.,28.89,5.93,22.96
09-Jan-2004,437.09,273.04,164.05,202.09,46.54,155.55
08-Jan-2004,263.92,181.17,82.75,490.75,313.63,177.12
07-Jan-2004,160.31,261.48,-101.17,492.3,230.01,262.29
06-Jan-2004,290.96,218.69,72.27,321.22,142.02,179.2
